prompt_id,prompt,expected_label,model,raw_answer,prediction,correct,latency_seconds,prompt_tokens,completion_tokens,total_tokens,error
1,What is the capital of Japan?,simple,google/gemini-2.5-flash-lite,simple,simple,True,1.947,35,1,36,
2,Who invented the telephone?,simple,google/gemini-2.5-flash-lite,simple,simple,True,2.924,33,1,34,
3,What is the largest planet in our solar system?,simple,google/gemini-2.5-flash-lite,simple,simple,True,3.075,38,1,39,
4,How many days are there in a leap year?,simple,google/gemini-2.5-flash-lite,simple,simple,True,1.057,38,1,39,
5,What does CPU stand for?,simple,google/gemini-2.5-flash-lite,simple,simple,True,1.062,34,1,35,
6,Write a Python function to check whether a number is even or odd.,coding,google/gemini-2.5-flash-lite,coding,coding,True,1.27,42,1,43,
7,Write JavaScript code to reverse a string.,coding,google/gemini-2.5-flash-lite,coding,coding,True,1.268,36,1,37,
8,Why does my React useEffect run twice in development?,coding,google/gemini-2.5-flash-lite,coding,coding,True,3.106,38,1,39,
9,Write a SQL query to select all students whose marks are greater than 80.,coding,google/gemini-2.5-flash-lite,coding,coding,True,1.047,45,1,46,
10,Fix this Python code: for i in range(5) print(i),coding,google/gemini-2.5-flash-lite,coding,coding,True,1.695,44,1,45,
11,Should a startup use microservices or a monolith? Explain the trade-offs.,reasoning,google/gemini-2.5-flash-lite,reasoning,reasoning,True,1.467,44,2,46,
12,A shop gives a 20% discount on a 1500 rupee product. What is the final price? Explain your calculation.,reasoning,google/gemini-2.5-flash-lite,reasoning,reasoning,True,1.268,57,2,59,
13,"If all programmers are problem solvers and Ravi is a programmer, what can we conclude about Ravi? Explain.",reasoning,google/gemini-2.5-flash-lite,reasoning,reasoning,True,1.115,49,2,51,
14,"Which is better for a small project, MySQL or MongoDB? Explain your reasoning.",reasoning,google/gemini-2.5-flash-lite,reasoning,reasoning,True,3.25,44,2,46,
15,"A train travels 120 km in 2 hours. At the same speed, how far will it travel in 5 hours? Explain.",reasoning,google/gemini-2.5-flash-lite,reasoning,reasoning,True,1.172,58,2,60,
1,What is the capital of Japan?,simple,openai/gpt-4.1-nano,simple,simple,True,2.076,42,2,44,
2,Who invented the telephone?,simple,openai/gpt-4.1-nano,simple,simple,True,2.172,40,2,42,
3,What is the largest planet in our solar system?,simple,openai/gpt-4.1-nano,simple,simple,True,1.428,45,2,47,
4,How many days are there in a leap year?,simple,openai/gpt-4.1-nano,simple,simple,True,2.394,45,2,47,
5,What does CPU stand for?,simple,openai/gpt-4.1-nano,simple,simple,True,1.778,41,2,43,
6,Write a Python function to check whether a number is even or odd.,coding,openai/gpt-4.1-nano,coding,coding,True,1.514,49,2,51,
7,Write JavaScript code to reverse a string.,coding,openai/gpt-4.1-nano,coding,coding,True,1.284,44,2,46,
8,Why does my React useEffect run twice in development?,coding,openai/gpt-4.1-nano,reasoning,reasoning,False,1.628,46,3,49,
9,Write a SQL query to select all students whose marks are greater than 80.,coding,openai/gpt-4.1-nano,codeing,unknown,False,3.117,51,3,54,
10,Fix this Python code: for i in range(5) print(i),coding,openai/gpt-4.1-nano,coding,coding,True,1.685,50,2,52,
11,Should a startup use microservices or a monolith? Explain the trade-offs.,reasoning,openai/gpt-4.1-nano,reasoning,reasoning,True,1.464,51,3,54,
12,A shop gives a 20% discount on a 1500 rupee product. What is the final price? Explain your calculation.,reasoning,openai/gpt-4.1-nano,reasoning,reasoning,True,1.133,62,3,65,
13,"If all programmers are problem solvers and Ravi is a programmer, what can we conclude about Ravi? Explain.",reasoning,openai/gpt-4.1-nano,reasoning,reasoning,True,1.338,57,3,60,
14,"Which is better for a small project, MySQL or MongoDB? Explain your reasoning.",reasoning,openai/gpt-4.1-nano,reasoning,reasoning,True,1.971,53,3,56,
15,"A train travels 120 km in 2 hours. At the same speed, how far will it travel in 5 hours? Explain.",reasoning,openai/gpt-4.1-nano,reasoning,reasoning,True,1.425,63,3,66,
1,What is the capital of Japan?,simple,mistralai/mistral-small-3.2-24b-instruct,simple,simple,True,1.275,37,2,39,
2,Who invented the telephone?,simple,mistralai/mistral-small-3.2-24b-instruct,reasoning,reasoning,False,1.274,35,3,38,
3,What is the largest planet in our solar system?,simple,mistralai/mistral-small-3.2-24b-instruct,simple,simple,True,1.274,40,2,42,
4,How many days are there in a leap year?,simple,mistralai/mistral-small-3.2-24b-instruct,simple,simple,True,1.471,40,2,42,
5,What does CPU stand for?,simple,mistralai/mistral-small-3.2-24b-instruct,simple,simple,True,1.16,36,2,38,
6,Write a Python function to check whether a number is even or odd.,coding,mistralai/mistral-small-3.2-24b-instruct,coding,coding,True,1.986,44,2,46,
7,Write JavaScript code to reverse a string.,coding,mistralai/mistral-small-3.2-24b-instruct,coding,coding,True,1.695,39,2,41,
8,Why does my React useEffect run twice in development?,coding,mistralai/mistral-small-3.2-24b-instruct,reasoning,reasoning,False,1.254,41,3,44,
9,Write a SQL query to select all students whose marks are greater than 80.,coding,mistralai/mistral-small-3.2-24b-instruct,coding,coding,True,1.468,47,2,49,
10,Fix this Python code: for i in range(5) print(i),coding,mistralai/mistral-small-3.2-24b-instruct,coding,coding,True,1.472,45,2,47,
11,Should a startup use microservices or a monolith? Explain the trade-offs.,reasoning,mistralai/mistral-small-3.2-24b-instruct,reasoning,reasoning,True,1.268,46,3,49,
12,A shop gives a 20% discount on a 1500 rupee product. What is the final price? Explain your calculation.,reasoning,mistralai/mistral-small-3.2-24b-instruct,reasoning,reasoning,True,2.498,61,3,64,
13,"If all programmers are problem solvers and Ravi is a programmer, what can we conclude about Ravi? Explain.",reasoning,mistralai/mistral-small-3.2-24b-instruct,reasoning,reasoning,True,1.268,54,3,57,
14,"Which is better for a small project, MySQL or MongoDB? Explain your reasoning.",reasoning,mistralai/mistral-small-3.2-24b-instruct,reasoning,reasoning,True,1.267,48,3,51,
15,"A train travels 120 km in 2 hours. At the same speed, how far will it travel in 5 hours? Explain.",reasoning,mistralai/mistral-small-3.2-24b-instruct,reasoning,reasoning,True,1.473,60,3,63,
